group,n,expected_total_mm,measured_total_mm,mean_error_percent,mean_abs_error_percent,median_abs_error_percent,sd_abs_error_percent,rmse_percent,min_error_percent,max_error_percent,p95_abs_error_percent,within_3_percent,within_5_percent,within_10_percent
Sintéticas,20,61214.000000,60948.687589,0.393900,3.517400,2.685500,2.883952,4.502602,-10.310000,5.552000,9.602250,10,13,19
Imagens Jean,8,5315.000000,5860.648398,14.651250,14.651250,8.840500,20.513538,24.142571,2.329000,64.739000,46.390250,1,2,6
Imagens Teruo,8,31985.000000,31472.855143,-0.251750,13.029000,5.977500,17.759495,21.112308,-29.134000,50.660000,43.125900,3,4,6
Total,36,98514.000000,98282.191130,3.418722,8.105278,4.365500,13.383546,15.486746,-29.134000,64.739000,34.515500,14,19,31
